top - 18:03:22 up  4:44,  1 user,  load average: 0.19, 0.26, 0.35
Tasks: 377 total,   1 running, 361 sleeping,  14 stopped,   1 zombie
%Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15677.4 total,   7091.2 free,   5490.7 used,   3921.4 buff/cache     
MiB Swap:   2048.0 total,    427.5 free,   1620.5 used.  10186.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   4721 pranesh   20   0 1378.1g 372908 140776 S  10.0   2.3  14:35.38 chrome
      1 root      20   0   24312  10372   4868 S   0.0   0.1   0:04.83 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.23 ksoftir+
     17 root      20   0       0      0      0 I   0.0   0.0   0:21.37 rcu_pre+
     18 root      rt   0       0      0      0 S   0.0   0.0   0:01.10 migrati+
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:00.72 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.06 ksoftir+
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     28 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     29 root      rt   0       0      0      0 S   0.0   0.0   0:01.42 migrati+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftir+
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     34 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     35 root      rt   0       0      0      0 S   0.0   0.0   0:01.03 migrati+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftir+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     40 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     41 root      rt   0       0      0      0 S   0.0   0.0   0:00.73 migrati+
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.03 ksoftir+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     47 root      rt   0       0      0      0 S   0.0   0.0   0:00.69 migrati+
     48 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftir+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/8
     52 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     53 root      rt   0       0      0      0 S   0.0   0.0   0:00.92 migrati+
     54 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftir+
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/9
     58 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     59 root      rt   0       0      0      0 S   0.0   0.0   0:00.64 migrati+
     60 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftir+
     62 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     63 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/10
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     65 root      rt   0       0      0      0 S   0.0   0.0   0:00.55 migrati+
     66 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftir+
     68 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     69 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/11
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     71 root      rt   0       0      0      0 S   0.0   0.0   0:00.49 migrati+
     72 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftir+
     74 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     75 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     77 root      rt   0       0      0      0 S   0.0   0.0   0:00.29 migrati+
     78 root      20   0       0      0      0 S   0.0   0.0   0:00.10 ksoftir+
     80 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     81 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     83 root      rt   0       0      0      0 S   0.0   0.0   0:00.26 migrati+
     84 root      20   0       0      0      0 S   0.0   0.0   0:00.03 ksoftir+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     87 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     88 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     89 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     90 root      20   0       0      0      0 S   0.0   0.0   0:00.02 khungta+
     91 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     94 root      20   0       0      0      0 S   0.0   0.0   0:00.73 kcompac+
     95 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     96 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root     -51   0       0      0      0 S   0.0   0.0   0:18.16 irq/9-a+
    104 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    107 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    108 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    109 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    111 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.26 kworker+
    114 root      20   0       0      0      0 S   0.0   0.0   0:03.85 kswapd0
    115 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    116 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    118 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    121 root      20   0       0      0      0 S   0.0   0.0   0:00.23 hwrng
    123 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    126 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    127 root       0 -20       0      0      0 I   0.0   0.0   0:00.88 kworker+
    134 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    154 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    178 root       0 -20       0      0      0 I   0.0   0.0   0:00.63 kworker+
    181 root       0 -20       0      0      0 I   0.0   0.0   0:00.21 kworker+
    182 root       0 -20       0      0      0 I   0.0   0.0   0:00.67 kworker+
    203 root       0 -20       0      0      0 I   0.0   0.0   0:00.30 kworker+
    204 root       0 -20       0      0      0 I   0.0   0.0   0:00.09 kworker+
    207 root       0 -20       0      0      0 I   0.0   0.0   0:00.37 kworker+
    209 root       0 -20       0      0      0 I   0.0   0.0   0:00.16 kworker+
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.56 kworker+
    229 root       0 -20       0      0      0 I   0.0   0.0   0:00.11 kworker+
    231 root       0 -20       0      0      0 I   0.0   0.0   0:00.83 kworker+
    298 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    299 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    300 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    301 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    302 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/160+
    305 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    345 root      20   0       0      0      0 S   0.0   0.0   0:01.61 jbd2/nv+
    346 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    391 root      19  -1   67888  14204  13180 S   0.0   0.1   0:01.52 systemd+
    442 root      20   0   30692   4412   1024 S   0.0   0.0   0:00.26 systemd+
    505 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    637 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    639 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/174+
    696 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    745 root     -51   0       0      0      0 S   0.0   0.0   0:05.90 irq/175+
    746 root     -51   0       0      0      0 S   0.0   0.0   0:00.56 irq/176+
    747 root     -51   0       0      0      0 S   0.0   0.0   0:00.50 irq/177+
    748 root     -51   0       0      0      0 S   0.0   0.0   0:00.38 irq/178+
    749 root     -51   0       0      0      0 S   0.0   0.0   0:01.93 irq/179+
    751 root     -51   0       0      0      0 S   0.0   0.0   0:01.39 irq/180+
    753 root     -51   0       0      0      0 S   0.0   0.0   0:00.58 irq/181+
    755 root     -51   0       0      0      0 S   0.0   0.0   0:01.02 irq/182+
    757 root     -51   0       0      0      0 S   0.0   0.0   0:00.67 irq/183+
    759 root     -51   0       0      0      0 S   0.0   0.0   0:00.54 irq/184+
    761 root     -51   0       0      0      0 S   0.0   0.0   0:00.71 irq/185+
    763 root     -51   0       0      0      0 S   0.0   0.0   0:01.41 irq/186+
    765 root     -51   0       0      0      0 S   0.0   0.0   0:00.67 irq/187+
